"a","ه"
"alâhide","عليحده"
"alâik","علائق"
"alâimisema","علائم سما"
"alak","علق"
"alâka","علاقه"
"alâkabahş","علاقه بخش"
"alâkadar","علاقه دار"
"alakadârân","علاقه داران"
"alâkadrilimkân","علاقدرالامکان"
"a'lâl","اعلال"
"a'lâm","اعلام"
"âlâm","آلام"
"alâmât","علامات"
"alâmet","علامت"
"âlât","آلات"
"alâvechi","علِی وجه"
"alâvefk","علی وفق"
"âlâyiş","آلایش"
"aleddevam","علی الدوام"
"alef","علف"
"aleka","علقه"
"alelacele","علی العجله"
"alelâde","علی العاده"
"alelamyâ","علی العميا"
"alelekser","علی الاکثر"
"alelhusûs","علی الخصوص"
"alelıtlâk","علی الاطلاق"
"alelicmâl","علی الاجمال"
"alelinfirâd","علی الانفراد"
"alelistimrâr","علی الاستمرار"
"aleliştirâk","علی الاشتراک"
"alelittifak","على الاتفاق"
"alelkifâye","علی الکفایه"
"alelumûm","علی العموم"
"alem","علم"
"a'lem","اعلم"
"âlem","عالم"
"âlemârâ","عالم آرا"
"alemdâr","علمدار"
"âlemefrûz","عالم افروز"
"âlemgîr","عالمگير"
"âlemiyân","عالميان"
"âlemşümûl","علم شمول"
"âlemtâb","عالمتاب"
"alenen","علنا"
"alenî","علنی"
"âlet","آلت"
"alettafsîl","علی التفصيل"
"alettevâlî","علی التوالی"
"aleyh","عليه"
"aleyhdar","عليه دار"
"aleyhisselâm","عليه السلام"
"ali","على"
"âlî","عالی"
"âlîcâh","عالی جاه"
"âlîcenâb","عالی جناب"
"âlihe","آلهه"
"âlîhimmet","عالی همت"
"âlîkadr","عالی قدر"
"alîl","عليل"
"alîm","عليم"
"âlim","عالم"
"âlîmakâm","عالی مقام"
"âlînazar","عالی نظر"
"âlîşan","عالی شان"
"âliye","عاليه"
"aliyyülâlâ","علی الاعلا"
"allâh","الله"
"allâme","علامه"
"âlû","آلو"
"âlûbâlu","آلوبالو"
"âlûd","آلود"
"âlûde","آلوده"
"âlûdedâmen","آلوده دامن"
"âlûdegî","آلودگی"
"âlüfte","آلفته"
"a'mâ","اعمی"
"âmâc","آماج"
"âmâcgâh","آماجگاه"
"âmâde","آماده"
"âmâdegî","آمادگی"
"a'mâk","اعماق"
"a'mâl","اعمال"
"âmâl","آمال"
"a'mâr","اعمار"
"âmâr","آمار"
"amca","عموجه"
"amd","عمد"
"amden","عمدا"
"âmed","آمد"
"âmedşüd","آمدشد"
"âmedüreft","آمدورفت"
"âmedüşüd","آمدوشد"
"amel","عمل"
"amele","عمله"
"amelen","عملا"
"amelî","عملی"
"ameliyât","عمليات"
"ameliye","عمليه"
"âmennâ","آمنا"
"âmîhte","آميخته"
"amîk","عميق"
"âmil","عامل"
"amîm","عميم"
"âmîn","آمن"
"âminen","آمنا"
"âmir","آمر"
"âmirâne","آمرانه"
"âmiyâne","عاميانه"
"amm","عم"
"ammâ","اما"
"amme","عمه"
"amûd","عمود"
"amûden","عمودا"
"amûdî","عمودی"
"âmurziş","آمرزش"
"âmûz","آموز"
"âmûzgâr","آموزگار"
"âmürzgâr","آمرزگار"
"âmürziş","آمرزش"
"an","عن"
"ânân","آنان"
"an'anât","عنعنات"
"an'ane","عنعنه"
"an'anevî","عنعنوی"
"anâsır","عناصر"
"ânât","آنات"
"anbean","آن به آن"
"anber","عنبر"
"anberbû","عنبربو"
"andelîb","عندليب"
"âne","انه"
"anh","عنه"
"anınçün","آنڭچون"
"a'nî","اعنی"
"ânî","آنی"
"ânifen","آنفا"
"âniyen","آنيا"
"ankâ","عنقا"
"ankarîb","عن قریب"
"ankasdin","عن قصد"
"ankebût","عنکبوت"
"ansamîmilkalb","عن صميم القلب"
"anûd","عنود"
"apaçık","اپ‌اچق"
"apalak","آپالاق"
"apartman","آپارتمان"
"apaz","آپاز"
"apazlama","آپازلامه"
"apazlamak","آپازلامق"
"apışık","آپشيق"
"apıştırmak","آپشديرمق"
"apiko","آپيوقو"
"apiş","اپش"
"apşak","آپشاق"
"apul","آپول"
"apuş","آپوش"
"âr","عار"
"ara","آره"
"ârâ","آرا"
"ârâ'","آراء"
"arab","عرب"
"a'râb","اعراب"
"araba","آرابه"
"arabacı","آرابه‌جى"
"arabacılık","آرابه‌جيلق"
"arabî","عربی"
"a'râbî","اعرابی"
"arâ'is","عرائس"
"arak","عرق"
"arakçîn","عرقچين"
"arakdâr","عرقدار"
"arakıyye","عرقيه"
"aral","آرال"
"aralanmak","آرالانمق "
"aralaşmak","آرالاشمق"
"aralatmak","آرالاتمق"
"ârâm","آرام"
"arama","آرامه"
"aramak","آرامق"
"ârâmbahş","آرام بخش"
"ârâmgah","آرامكاه"
"ârâmgâh","آرامگاه"
"ârâmiş","آرامش"
"ârâmsâz","آرامساز "
"ârâmsız","آرامسز"
"ârâmsızlık","آرامسزلق"
"aranılmak","آرانلمق"
"aranmak","آرانمق"
"ar'ar","عرعر"
"ararot","آراروت"
"arasta","آراسته"
"ârâste","آراسته"
"araştırmak","آراشديرمق"
"aratmak","آراتمق"
"arattırmak","آراتديرمق"
"arayıcı","آراييجى"
"araz","عرض"
"a'râz","اعراض"
"arâzî","اراضی"
"arbede","عربده"
"arbedecû","عربده جو"
"ard"," آرد"
"ârd","آرد"
"ardala","آرداله"
"ardbîz","آردبيز"
"ardıç","آرديج"
"ardın","آردين"
"arefe","عرفه"
"argaç","آرغاج"
"argaçlamak","آرغاجلامق"
"argalı"," آرغالى"
"argamak","آرغامق"
"argımak","آرغيمق"
"argıt","آرغيد"
"arı","آرى"
"arıg","آريغ"
"arık","آريق"
"arıklamak","آريقلامق"
"arıklanmak","آريقلانمق"
"arıklatmak","آريقلاتمق"
"arılmak","آريلمق"
"arımak","آريمق"
"arınmak","آرينمق"
"arıtmak","آريتمق"
"ârız","عارض"
"ârızî","عارضی"
"ârif","عارف"
"âriyyet","عاریت"
"arîz","عریض"
"ark","آرق"
"arka","آرقه"
"arkalı","آرقه‌لى"
"arkalıç","آرقه‌ليج"
"arkalık","آرقه‌لق"
"arkurı","آرقورى"
"arma","آرمه"
"armador","آرمادور"
"armağan"," آرمغان"
"arman","آرمان"
"armoz","آرموز"
"armudî"," آرمودى"
"armut","آرمود"
"arnavut","آرناود"
"arnavutça","آرناودجه"
"arnavutluk","آرناودلق"
"arnika","آرنيقا"
"arpa suyu","آرپه‌صويى"
"arpacı","آرپه‌جى"
"arpacık","آرپه‌جق"
"arpağ","آرپاغ"
"arpağan","آرپاغان"
"arpağcı","آرپاغجى"
"arpalamak","آرپه‌لامق"
"arpalık","آرپه‌لق"
"arsa","عرصه"
"arsenik","آرسنيك"
"arslan","آرسلان"
"arslancı","آرسلانجى"
"arslanhane","آرسلانخانه"
"arslanlamak","آرسلانلامق"
"arşa","عرشه"
"arşın","آرشين"
"arşınlamak","آرشينلامق "
"arşınlık","آرشينلق"
"arşidük","آرشيدوق"
"art","آرت"
"artamak"," آرتامق"
"artıklık","آرتيقلق"
"artma"," آرتمه"
"artmak","آرتمق"
"arttırılmak","آرتديرلمق"
"arttırmak"," آرتديرمق"
"arûs","عروس"
"arvana","آروانه"
"arya","آريا"
"arzan","ارضا"
"arzıhâl","ارض حال"
"ârzû","آرزو"
"ârzûkeş"," آرزوكش"
"ârzûlamak","آرزولامق"
"ârzûlu","آرزولى"
"ârzûmend","آرزومند"
"asâ","عصا"
"âsâ","آسا"
"asab","عصب"
"a'sâb","اعصاب"
"asabî","عصبی"
"asabiyülmizac","عصبی المزاج"
"asabiyyet","عصبيت"
"âsaf","آصف"
"asâkir","عساکر"
"âsâm","آثام"
"asamm","اصم"
"âsân","آسان"
"a'sâr","اعصار"
"âsâr","آثار"
"âsâyiş","آسایش"
"asdika","اصدقا"
"asel","عسل"
"ases","عسس"
"asfer","اصفر"
"asgar","اصغر"
"asgarî","اصغری"
"ashâb","اصحاب"
"âsım","عاصم"
"asır ba'de asır","عصر بعد عصر"
"âsî","عاصی"
"âsîb","آسيب"
"asîl","اصيل"
"asîlzâde","اصيل زاده"
"âsim","آثم"
"asîr","عصير"
"âsitan","آستان"
"âsiyâ","آسيا"
"âsiyâb","آسياب"
"asker","عسکر"
"asl","اصل"
"asla","اصلا"
"aslî","اصلی"
"aslünesl","اصل و نسل"
"âsmân","آسمان"
"âsmânî","آسمانی"
"asnâm","اصنام"
"asr","عصر"
"asrî","عصری"
"assam","اثام"
"assar","اثار"
"assim","اثم"
"âstân","آستان"
"âstâne","آستانه"
"âster","آستر"
"âstîn","آستين"
"âsûde","آسوده"
"âsûdegî","آسودگی"
"âsûdehâtır","آسوده خاطر"
"âsüman","آسمان"
"âş","آش"
"âşâm","آشام"
"a'şâr","اعشار"
"a'şârî","اعشاری"
"aşer","عشر"
"aşere","عشره"
"aşhâne","آشخانه"
"âşık","عاشق"
"âşıkân","عاشقان"
"âşifte","آشفته"
"âşikâr","آشکار"
"âşikâre","آشکاره"
"âşina","آشنا"
"aşîr","عشير"
"âşir","عاشر"
"âşiren","عاشرا"
"âşiyân","آشيان"
"aşk","عشق"
"âşkâr","آشکار"
"âşkârâ","آشکارا"
"âşnâ","آشنا"
"âşnâyân","آشنایان"
"âşnâyî","آشنایی"
"âşpez","آشپز"
"aşre","عشره"
"âşûb","آشوب"
"âşûbengîz","آشوب انگيز"
"âşûrâ","عاشورا"
"âşüfte","آشفته"
"âşüftedil","آشفته دل"
"at","آت"
"ât","ات"
"atâ","عطاء"
"atâbahş","عطا بخش"
"atabey","اتابك"
"atak","آتاق"
"ataklık","آتاقلق"
"atâlet","عطالت"
"ataş","عطش"
"ataşe","آتاشه"
"atâyâ","عطایا"
"atebât","عتبات"
"atebe","عتبه"
"ateh","عته"
"aterina","آترينه"
"ateş","اتش"
"âteş","آتش"
"ateş balığı","آتش‌باليغى"
"ateş böceği","آتش‌بوجكى"
"âteşbâr","آتش بار"
"âteşbâz","آتشباز"
"ateşçi","آتشجى"
"ateşçilik","آتشجيلك"
"âteşdân","آتشدان"
"âteşdem","آتش دم"
"âteşefrûz","آتش افروز"
"âteşefşân","آتش‌افشان"
"âteşengîz","آتش‌انكيز"
"âteşfâm","آتش فام"
"âteşgâh","آتشگاه"
"âteşgede","آتشگده"
"âteşgîre","آتش گيره"
"âteşgûn","آتش گون"
"âteşhâne","آتشخانه"
"âteşîn","آتشين"
"âteşkâr","آتش کار"
"ateşkede","اتشكده"
"ateşlendirmek","آتشلنديرمك"
"ateşlenmek","آتشلنمك"
"ateşli","آتشلى"
"ateşlik","آتشلك"
"âteşmizâc","آتش مزاج"
"âteşnâk","آتشناك"
"ateşperest","اتشپرست"
"âteşperest","آتش پرست"
"âteşzebân","آتش‌زبان"
"atf","عطف"
"atfen","عطفا"
"atıcı","آتيجى"
"âtıf","عاطف"
"âtıfet","عاطفت"
"atık","آتيق"
"âtıl","عاطل"
"atılış"," آتليش"
"atılma","آتلمه"
"atım","آتيم"
"atışmak","آتيشمق"
"ati","اتى"
"atîk","عتيق"
"atîka","عتيقه"
"atîkiyyât","عتيقيات"
"at'ime","اطعمه"
"atina","اتينا"
"âtiye","آتيه"
"âtiyen","آتيا"
"âtiyülbeyân","آتی البيان"
"âtiyüzzikr","آتی الذکر"
"atiyyât","عطيات"
"atkılamak","آتقيلامق"
"atlama","آتلامه"
"atlambaç","آتلامباج"
"atlandırmak"," آتلانديرمق"
"atlangıç"," آتلانغيچ"
"atlas","اطلس"
"atlayış","آتلايش"
"atma","آتمه"
"atnâb","اطناب"
"ats","عطس"
"atse","عطسه"
"atş","عطش"
"atşân","عطشان"
"attar","عطار"
"attârî","عطاری"
"attırmak","آتديرمق"
"atûfet","عطوفت"
"avâid","عوائد"
"avâkıb","عواقب"
"avâlim","عوالم"
"avâm","عوام"
"avâmil","عوامل"
"avâmpesend","عوام پسند"
"avân","اوان"
"âvâre","آواره"
"âvâreser","آواره سر"
"avârız","عوارض"
"avârif","عوارف"
"âvâz","آواز"
"âvâze","آوازه"
"avdet","عودت"
"a'vec","اعوج"
"avene","عونه"
"a'ver","اعور"
"âvîze","آویزه"
"avn","عون"
"avrât","عورات"
"avret","عورت"
"âyâ","آیا"
"a'yâd","اعياد"
"ayân","عيان"
"a'yân","اعيان"
"ayâr","عيار"
"âyât","آیات"
"ayb","عيب"
"âyet","آیت"
"âyîn","آیين"
"âyine","آینه"
"âyînhân","آیين خوان"
"ayn","عين"
"aynen","عينا"
"ayniyye","عينيه"
"ayniyyet","عينيت"
"aynülyakîn","عين اليقين"
"ayş","عيش"
"a'yün","اعين"
"ayyâr","عيار"
"ayyârî","عياری"
"az","آز"
"a'zâ","اعضا"
"azab","عزب"
"azâb","عذاب"
"azâbengiz","عذاب انگيز"
"azacık","آزاجق"
"âzâd","آزاد"
"âzâde","آزاده"
"âzâdegi","آزادكى"
"azalmak","آزالمق"
"azaltmak","آزالتمق"
"a'zam","اعظم"
"azamet","عظمت"
"âzân","آذان"
"azar","آزار"
"âzâr","آزار"
"azarlamak","آزارلامق"
"azarlanmak","آزارلانمق"
"azarlatmak","آزارلاتمق"
"azarlayış","آزارلايش"
"âzâtlamak","آزادلامق"
"âzâtlı","آزادلى"
"âzâtlık","آزادلق"
"azcık","آزجق"
"azdâd","اضداد"
"âzer","آذر"
"âzerâsâ","آذرآسا"
"âzergede","آذركده"
"âzeri","آذرى"
"âzerperest","آذرپرست"
"azıcık"," آزيجق"
"azil","عزل"
"azîm","عظيم"
"âzim","عازم"
"azîmet","عزیمت"
"aziz","عزیز"
"azîzan","عزیزان"
"azîze","عزیزه"
"azl","عزل"
"âzmâyiş","آزمایش"
"âzmend","آزمند"
"azrâ","عذرا"
"azrâil","عزدائيل"
"azrar","اضرار"
"azulât","عضلات"
"âzürde","آزرده"
"bâ","با"
"baad","بعد"
"bab","باب"
"bâb","باب"
"bâbâ","بابا"
"bâbâyâne","بابایانه"
"bâbûne","بابونه"
"bâc","باج"
"bâcgîr","باجگير"
"bâd","باد"
"bâdâm","بادام"
"bâdbân","بادبان"
"bâdbedest","بادبدست"
"bâdbîz","بادبيز"
"ba'de","بعد"
"bâde","باده"
"bâdefürûş","باده فروش"
"bâdehâr","باده خوار"
"ba'dehu","بعده"
"bâdekeş","باده کش"
"ba'delmîlâd","بعدالميلاد"
"ba'demâ","بعدما"
"bâdenûş","باده نوش"
"ba'dezin","بعدازاین"
"bâdî","بادی"
"bâdire","بادره"
"bâdiye","بادیه"
"bâğ","باغ"
"bağal","بغل"
"bâğbân","باغبان"
"bâğçe","باغچه"
"bağçevan","باغچوان"
"bağteten","بغتة"
"bâh","باه"
"bahâ","بها"
"bâhaber","باخبر"
"bahâdar","بهادار"
"bahâdır","بهادر"
"bahâne","بهانه"
"bahânecû","بهانه جو"
"bahâr","بهار"
"bahârî","بهاری"
"bahâyim","بهایم"
"bahçıvan","باخچوان"
"bahîl","بخيل"
"bâhired","باخرد"
"bahis","بحث"
"bâhis","باحث"
"bahr","بحر"
"bahs","بحث"
"bahş","بخش"
"bahşâyiş","بخشایش"
"bahşiş","بخشش"
"baht","بخت"
"bahtiyârî","بختياری"
"bâhûr","باخور"
"bâhusus","باخصوص"
"baîd","بعيد"
"bâis","باعث"
"bâjurnal","باژورنال"
"bâk","باک"
"bakâyâ","بقایا"
"bakıyye","بقيه"
"bâkî","باقی"
"bâkir","باکر"
"bâkire","باکره"
"bâl","بال"
"bâlâ","بالا"
"bâlâbülend","بالابلند"
"bâlâhâne","بالاخانه"
"bâlâpervaz","بالاپرواز"
"bâliğ","بالغ"
"bâlîn","بالين"
"bâliş","بالش"
"bâm","بام"
"bâmazbata","بامضبطه"
"bâmdâd","بامداد"
"bâmukâvele","بامقاوله"
"bana","بكا"
"bâng","بانگ"
"bânû","بانو"
"bâr","بار"
"bârân","باران"
"bârapor","باراپور"
"bârber","باربر"
"bâre","باره"
"bârgâh","بارگاه"
"bârgîr","بارگير"
"bârî","باری"
"bârid","بارد"
"bârîk","باریک"
"bârika","بارقه"
"bâriz","بارز"
"bârû","بارو"
"bârver","بارور"
"ba's","بعث"
"basar","بصر"
"basîret","بصيرت"
"basît","بسيط"
"bassar","بصر"
"bast","بسط"
"ba'süba'delmevt","بعث بعد الموت"
"batâet","بطائت"
"bâtakrîr","باتقریر"
"batı","باتى"
"bâtıl","باطل"
"batın","بطن"
"bâtınen","باطنا"
"batî","بطی"
"batn","بطن"
"batt","بط"
"battal","بطال"
"bâvekar","باوقار"
"bâyi","بایع"
"bayrakdâr","بيدقدار"
"baytâr","بيطار"
"bâz","باز"
"ba'zan","بعضا"
"bazargâh","بازارگاه"
"bazen","بعضا"
"bazı","بعض"
"bâzî","بازی"
"bâzîçe","بازیچه"
"bâzû","بازو"
"bebr","ببر"
"becâ","بجا"
"becâyiş","بجایش"
"beççe","بچه"
"bed","بد"
"bed'","بدء"
"bedahd","بدعهد"
"bedâheten","بداهة"
"bedahlâk","بداخلاق"
"bedâvâz","بدآواز"
